max_depth,min_samples_leaf,accuracy
-1,1,0.9473684210526315
-1,2,0.9473684210526315
-1,4,0.9385964912280702
-1,8,0.9210526315789473
-1,16,0.9210526315789473
3,1,0.9298245614035088
3,2,0.9298245614035088
3,4,0.9298245614035088
3,8,0.9210526315789473
3,16,0.9210526315789473
5,1,0.9473684210526315
5,2,0.9473684210526315
5,4,0.9385964912280702
5,8,0.9210526315789473
5,16,0.9210526315789473
7,1,0.9473684210526315
7,2,0.9473684210526315
7,4,0.9385964912280702
7,8,0.9210526315789473
7,16,0.9210526315789473
10,1,0.9473684210526315
10,2,0.9473684210526315
10,4,0.9385964912280702
10,8,0.9210526315789473
10,16,0.9210526315789473
15,1,0.9473684210526315
15,2,0.9473684210526315
15,4,0.9385964912280702
15,8,0.9210526315789473
15,16,0.9210526315789473
